  Training |     1 | Steps: 11 | Time:  352 | Loss:   0.15288 | Score:  0
  Training |     2 | Steps:  8 | Time:  417 | Loss:   0.47673 | Score:  0
  Training |     3 | Steps: 11 | Time:  525 | Loss:   0.57004 | Score:  0
  Training |     4 | Steps: 11 | Time:  576 | Loss:   0.60160 | Score:  0
  Training |     5 | Steps: 31 | Time: 1350 | Loss:   0.54653 | Score:  0
  Training |     6 | Steps: 13 | Time:  788 | Loss:   0.54964 | Score:  0
  Training |     7 | Steps:  6 | Time:  504 | Loss:   0.52530 | Score:  0
  Training |     8 | Steps:  7 | Time:  520 | Loss:   0.51524 | Score:  0
  Training |     9 | Steps:  8 | Time:  584 | Loss:   0.63778 | Score:  0
  Training |    10 | Steps:  9 | Time:  591 | Loss:   0.71204 | Score:  0
  Training |    11 | Steps:  8 | Time:  588 | Loss:   0.65481 | Score:  0
  Training |    12 | Steps:  8 | Time:  625 | Loss:   0.82455 | Score:  0
  Training |    13 | Steps:  7 | Time:  516 | Loss:   0.59861 | Score:  0
  Training |    14 | Steps: 62 | Time: 2618 | Loss:   0.94885 | Score:  2
  Training |    15 | Steps:  8 | Time:  567 | Loss:   1.05642 | Score:  0
  Training |    16 | Steps:  7 | Time:  516 | Loss:   0.87009 | Score:  0
  Training |    17 | Steps: 10 | Time:  666 | Loss:   0.98835 | Score:  0
  Training |    18 | Steps:  6 | Time:  537 | Loss:   0.95210 | Score:  0
  Training |    19 | Steps: 10 | Time:  645 | Loss:   1.06689 | Score:  1
  Training |    20 | Steps: 13 | Time:  793 | Loss:   1.04995 | Score:  0
  Training |    21 | Steps: 26 | Time: 1254 | Loss:   1.08319 | Score:  1
  Training |    22 | Steps: 16 | Time:  861 | Loss:   1.02581 | Score:  0
  Training |    23 | Steps: 13 | Time:  803 | Loss:   1.02045 | Score:  0
  Training |    24 | Steps: 11 | Time:  721 | Loss:   1.05498 | Score:  0
  Training |    25 | Steps:  7 | Time:  528 | Loss:   1.11773 | Score:  1
  Training |    26 | Steps: 22 | Time: 1127 | Loss:   1.00442 | Score:  0
  Training |    27 | Steps:  8 | Time:  555 | Loss:   0.79979 | Score:  0
  Training |    28 | Steps: 20 | Time:  969 | Loss:   0.95192 | Score:  0
  Training |    29 | Steps: 13 | Time:  774 | Loss:   0.90377 | Score:  0
  Training |    30 | Steps: 23 | Time: 1118 | Loss:   0.94978 | Score:  0
  Training |    31 | Steps:  6 | Time:  495 | Loss:   1.25552 | Score:  0
  Training |    32 | Steps: 11 | Time:  669 | Loss:   0.91252 | Score:  0
  Training |    33 | Steps:  8 | Time:  583 | Loss:   0.81829 | Score:  0
  Training |    34 | Steps:  9 | Time:  596 | Loss:   0.87946 | Score:  0
  Training |    35 | Steps: 11 | Time:  690 | Loss:   0.91692 | Score:  0
  Training |    36 | Steps:  9 | Time:  621 | Loss:   0.69494 | Score:  0
  Training |    37 | Steps: 22 | Time: 1060 | Loss:   0.87906 | Score:  1
  Training |    38 | Steps: 12 | Time:  694 | Loss:   0.93553 | Score:  0
  Training |    39 | Steps:  6 | Time:  485 | Loss:   0.88182 | Score:  0
  Training |    40 | Steps: 17 | Time:  870 | Loss:   0.91328 | Score:  0
  Training |    41 | Steps: 12 | Time:  712 | Loss:   0.93783 | Score:  0
  Training |    42 | Steps:  9 | Time:  584 | Loss:   0.98070 | Score:  0
  Training |    43 | Steps: 10 | Time:  643 | Loss:   0.83386 | Score:  0
  Training |    44 | Steps:  7 | Time:  520 | Loss:   1.22216 | Score:  0
  Training |    45 | Steps:  9 | Time:  633 | Loss:   0.84505 | Score:  0
  Training |    46 | Steps: 17 | Time:  889 | Loss:   0.91656 | Score:  1
  Training |    47 | Steps:  9 | Time:  614 | Loss:   0.91434 | Score:  1
  Training |    48 | Steps: 11 | Time:  695 | Loss:   0.84916 | Score:  0
  Training |    49 | Steps:  8 | Time:  576 | Loss:   0.87004 | Score:  0
  Training |    50 | Steps:  7 | Time:  525 | Loss:   0.95747 | Score:  0
  Training |    51 | Steps: 14 | Time:  798 | Loss:   0.99137 | Score:  0
  Training |    52 | Steps:  8 | Time:  551 | Loss:   0.82486 | Score:  0
  Training |    53 | Steps: 11 | Time:  670 | Loss:   0.75174 | Score:  0
  Training |    54 | Steps: 19 | Time:  982 | Loss:   0.96295 | Score:  0
  Training |    55 | Steps: 15 | Time:  807 | Loss:   1.03238 | Score:  1
  Training |    56 | Steps: 25 | Time: 1178 | Loss:   0.82527 | Score:  0
  Training |    57 | Steps:  9 | Time:  597 | Loss:   1.05856 | Score:  0
  Training |    58 | Steps:  9 | Time:  616 | Loss:   0.98992 | Score:  0
  Training |    59 | Steps: 12 | Time:  737 | Loss:   0.77507 | Score:  0
  Training |    60 | Steps:  6 | Time:  479 | Loss:   0.77510 | Score:  0
  Training |    61 | Steps:  7 | Time:  528 | Loss:   0.69704 | Score:  1
  Training |    62 | Steps: 14 | Time:  796 | Loss:   0.81945 | Score:  0
  Training |    63 | Steps: 16 | Time:  864 | Loss:   0.77630 | Score:  1
  Training |    64 | Steps:  7 | Time:  543 | Loss:   0.97274 | Score:  0
  Training |    65 | Steps:  7 | Time:  549 | Loss:   0.79959 | Score:  0
  Training |    66 | Steps:  8 | Time:  586 | Loss:   0.97010 | Score:  0
  Training |    67 | Steps:  6 | Time:  482 | Loss:   0.97169 | Score:  0
  Training |    68 | Steps: 11 | Time:  668 | Loss:   0.81785 | Score:  1
  Training |    69 | Steps: 11 | Time:  677 | Loss:   1.11748 | Score:  0
  Training |    70 | Steps:  8 | Time:  577 | Loss:   0.77692 | Score:  0
  Training |    71 | Steps:  6 | Time:  494 | Loss:   0.63826 | Score:  0
  Training |    72 | Steps: 11 | Time:  651 | Loss:   0.80748 | Score:  0
  Training |    73 | Steps:  6 | Time:  506 | Loss:   0.80870 | Score:  0
  Training |    74 | Steps:  9 | Time:  591 | Loss:   0.81778 | Score:  1
  Training |    75 | Steps:  9 | Time:  615 | Loss:   0.85376 | Score:  0
  Training |    76 | Steps:  7 | Time:  552 | Loss:   1.14350 | Score:  0
  Training |    77 | Steps:  6 | Time:  516 | Loss:   0.79825 | Score:  0
  Training |    78 | Steps:  6 | Time:  499 | Loss:   0.80381 | Score:  0
  Training |    79 | Steps: 10 | Time:  636 | Loss:   0.79090 | Score:  0
  Training |    80 | Steps: 16 | Time:  829 | Loss:   0.82278 | Score:  0
  Training |    81 | Steps:  6 | Time:  462 | Loss:   0.66196 | Score:  0
  Training |    82 | Steps: 10 | Time:  636 | Loss:   0.96521 | Score:  0
  Training |    83 | Steps:  7 | Time:  509 | Loss:   0.99563 | Score:  0
  Training |    84 | Steps: 11 | Time:  691 | Loss:   0.84494 | Score:  0
  Training |    85 | Steps: 19 | Time:  977 | Loss:   1.00553 | Score:  0
  Training |    86 | Steps: 12 | Time:  723 | Loss:   0.85265 | Score:  1
  Training |    87 | Steps: 15 | Time:  805 | Loss:   0.96101 | Score:  0
  Training |    88 | Steps: 11 | Time:  682 | Loss:   0.72662 | Score:  0
  Training |    89 | Steps:  8 | Time:  580 | Loss:   0.76391 | Score:  0
  Training |    90 | Steps:  7 | Time:  528 | Loss:   0.68711 | Score:  0
  Training |    91 | Steps: 10 | Time:  653 | Loss:   0.78094 | Score:  0
  Training |    92 | Steps: 11 | Time:  659 | Loss:   0.81102 | Score:  0
  Training |    93 | Steps:  6 | Time:  516 | Loss:   0.71361 | Score:  0
  Training |    94 | Steps: 39 | Time: 1658 | Loss:   0.81980 | Score:  0
  Training |    95 | Steps: 12 | Time:  682 | Loss:   0.69131 | Score:  0
  Training |    96 | Steps: 13 | Time:  725 | Loss:   0.56964 | Score:  0
  Training |    97 | Steps: 17 | Time:  907 | Loss:   0.79755 | Score:  0
  Training |    98 | Steps: 10 | Time:  632 | Loss:   0.87152 | Score:  0
  Training |    99 | Steps: 10 | Time:  630 | Loss:   0.68836 | Score:  1
  Training |   100 | Steps: 14 | Time:  755 | Loss:   0.74744 | Score:  0
  Training |   101 | Steps: 17 | Time:  877 | Loss:   0.68230 | Score:  0
  Training |   102 | Steps: 11 | Time:  663 | Loss:   0.59095 | Score:  0
  Training |   103 | Steps:  7 | Time:  553 | Loss:   0.60790 | Score:  0
  Training |   104 | Steps:  7 | Time:  550 | Loss:   0.81501 | Score:  0
  Training |   105 | Steps:  9 | Time:  623 | Loss:   0.82677 | Score:  1
  Training |   106 | Steps:  9 | Time:  628 | Loss:   0.85181 | Score:  0
  Training |   107 | Steps: 11 | Time:  688 | Loss:   0.56932 | Score:  1
  Training |   108 | Steps: 13 | Time:  765 | Loss:   0.78085 | Score:  1
  Training |   109 | Steps: 21 | Time: 1043 | Loss:   0.81583 | Score:  0
  Training |   110 | Steps: 17 | Time:  899 | Loss:   0.78140 | Score:  0
  Training |   111 | Steps: 10 | Time:  640 | Loss:   0.54400 | Score:  0
  Training |   112 | Steps: 36 | Time: 1528 | Loss:   0.70547 | Score:  0
  Training |   113 | Steps: 15 | Time:  823 | Loss:   0.63880 | Score:  0
  Training |   114 | Steps:  6 | Time:  510 | Loss:   0.86638 | Score:  0
  Training |   115 | Steps: 11 | Time:  671 | Loss:   0.66595 | Score:  0
  Training |   116 | Steps:  6 | Time:  504 | Loss:   0.76453 | Score:  0
  Training |   117 | Steps: 53 | Time: 2161 | Loss:   0.74547 | Score:  1
  Training |   118 | Steps:  6 | Time:  505 | Loss:   0.80215 | Score:  0
  Training |   119 | Steps: 15 | Time:  823 | Loss:   0.61310 | Score:  1
  Training |   120 | Steps:  7 | Time:  538 | Loss:   0.94910 | Score:  0
  Training |   121 | Steps:  6 | Time:  515 | Loss:   0.94769 | Score:  1
  Training |   122 | Steps:  8 | Time:  556 | Loss:   0.76298 | Score:  0
  Training |   123 | Steps:  9 | Time:  597 | Loss:   0.65024 | Score:  0
  Training |   124 | Steps: 22 | Time: 1081 | Loss:   0.86695 | Score:  0
  Training |   125 | Steps:  7 | Time:  555 | Loss:   0.71310 | Score:  0
  Training |   126 | Steps:  9 | Time:  622 | Loss:   0.74159 | Score:  0
  Training |   127 | Steps: 15 | Time:  839 | Loss:   0.69857 | Score:  0
  Training |   128 | Steps:  7 | Time:  534 | Loss:   0.56332 | Score:  0
  Training |   129 | Steps: 17 | Time:  904 | Loss:   0.67432 | Score:  0
  Training |   130 | Steps: 18 | Time:  949 | Loss:   0.73357 | Score:  0
  Training |   131 | Steps: 43 | Time: 1817 | Loss:   0.75851 | Score:  1
  Training |   132 | Steps: 16 | Time:  894 | Loss:   0.70558 | Score:  0
  Training |   133 | Steps:  9 | Time:  579 | Loss:   0.49920 | Score:  1
  Training |   134 | Steps: 10 | Time:  664 | Loss:   0.58533 | Score:  0
  Training |   135 | Steps: 16 | Time:  834 | Loss:   0.60527 | Score:  0
  Training |   136 | Steps: 19 | Time:  926 | Loss:   0.66131 | Score:  0
  Training |   137 | Steps:  7 | Time:  542 | Loss:   1.04471 | Score:  0
  Training |   138 | Steps:  7 | Time:  553 | Loss:   0.66748 | Score:  0
  Training |   139 | Steps:  6 | Time:  521 | Loss:   0.81669 | Score:  0
  Training |   140 | Steps: 24 | Time: 1141 | Loss:   0.82458 | Score:  1
  Training |   141 | Steps: 13 | Time:  764 | Loss:   0.60472 | Score:  0
  Training |   142 | Steps:  6 | Time:  509 | Loss:   0.81530 | Score:  0
  Training |   143 | Steps: 11 | Time:  652 | Loss:   0.80450 | Score:  0
  Training |   144 | Steps: 12 | Time:  720 | Loss:   0.68022 | Score:  0
  Training |   145 | Steps: 10 | Time:  626 | Loss:   0.80061 | Score:  0
  Training |   146 | Steps: 12 | Time:  689 | Loss:   0.67027 | Score:  0
  Training |   147 | Steps: 23 | Time: 1072 | Loss:   0.50471 | Score:  0
  Training |   148 | Steps: 15 | Time:  809 | Loss:   0.76056 | Score:  0
  Training |   149 | Steps:  6 | Time:  495 | Loss:   0.40925 | Score:  0
