  Training |     1 | Steps:  6 | Time: 3489 | Loss:  10.79490 | Score:  1
  Training |     2 | Steps:  7 | Time:  369 | Loss:   4.40574 | Score:  0
  Training |     3 | Steps:  6 | Time:  398 | Loss:   3.27800 | Score:  0
  Training |     4 | Steps: 11 | Time:  463 | Loss:   2.38997 | Score:  0
  Training |     5 | Steps: 14 | Time:  458 | Loss:   1.87165 | Score:  0
  Training |     6 | Steps:  6 | Time:  350 | Loss:   1.63356 | Score:  0
  Training |     7 | Steps:  6 | Time:  343 | Loss:   1.68276 | Score:  0
  Training |     8 | Steps:  9 | Time:  375 | Loss:   1.67517 | Score:  0
  Training |     9 | Steps: 18 | Time:  520 | Loss:   1.52285 | Score:  0
  Training |    10 | Steps: 16 | Time:  530 | Loss:   1.43138 | Score:  1
  Training |    11 | Steps: 17 | Time:  492 | Loss:   1.37140 | Score:  0
  Training |    12 | Steps: 12 | Time:  475 | Loss:   1.41421 | Score:  0
  Training |    13 | Steps: 19 | Time:  569 | Loss:   1.27864 | Score:  0
  Training |    14 | Steps:  9 | Time:  411 | Loss:   1.07985 | Score:  0
  Training |    15 | Steps:  7 | Time:  379 | Loss:   1.22526 | Score:  0
  Training |    16 | Steps:  7 | Time:  352 | Loss:   1.02493 | Score:  0
  Training |    17 | Steps:  6 | Time:  396 | Loss:   1.10438 | Score:  0
  Training |    18 | Steps: 12 | Time:  421 | Loss:   1.11508 | Score:  0
  Training |    19 | Steps: 12 | Time:  462 | Loss:   1.23795 | Score:  0
  Training |    20 | Steps: 14 | Time:  441 | Loss:   0.95935 | Score:  0
  Training |    21 | Steps:  8 | Time:  398 | Loss:   1.11919 | Score:  0
  Training |    22 | Steps: 20 | Time:  579 | Loss:   1.22441 | Score:  1
  Training |    23 | Steps: 14 | Time:  446 | Loss:   1.05306 | Score:  0
  Training |    24 | Steps: 15 | Time:  491 | Loss:   1.00458 | Score:  0
  Training |    25 | Steps: 33 | Time:  706 | Loss:   1.05844 | Score:  0
  Training |    26 | Steps:  6 | Time:  401 | Loss:   1.04331 | Score:  0
  Training |    27 | Steps: 18 | Time:  491 | Loss:   0.97441 | Score:  0
  Training |    28 | Steps: 10 | Time:  434 | Loss:   0.72453 | Score:  0
  Training |    29 | Steps:  9 | Time:  414 | Loss:   1.03528 | Score:  0
  Training |    30 | Steps:  6 | Time:  353 | Loss:   0.93990 | Score:  1
  Training |    31 | Steps:  6 | Time:  348 | Loss:   0.90934 | Score:  0
  Training |    32 | Steps: 12 | Time:  415 | Loss:   0.94625 | Score:  0
