  Training |     1 | Steps:  7 | Time: 3844 | Loss:   1.22727 | Score:  0
  Training |     2 | Steps: 17 | Time:  572 | Loss:   2.74261 | Score:  0
  Training |     3 | Steps:  7 | Time:  396 | Loss:   1.65763 | Score:  0
  Training |     4 | Steps:  7 | Time:  415 | Loss:   3.70443 | Score:  0
  Training |     5 | Steps: 16 | Time:  647 | Loss:   3.17319 | Score:  0
  Training |     6 | Steps: 13 | Time:  559 | Loss:   3.22960 | Score:  1
  Training |     7 | Steps: 10 | Time:  552 | Loss:   5.31485 | Score:  0
  Training |     8 | Steps: 10 | Time:  547 | Loss:   4.79033 | Score:  0
  Training |     9 | Steps:  9 | Time:  552 | Loss:   4.48154 | Score:  0
  Training |    10 | Steps:  9 | Time:  541 | Loss:   4.54338 | Score:  0
  Training |    11 | Steps: 12 | Time:  552 | Loss:   4.49418 | Score:  0
  Training |    12 | Steps:  6 | Time:  464 | Loss:   5.01390 | Score:  0
  Training |    13 | Steps: 20 | Time:  730 | Loss:   4.32694 | Score:  0
  Training |    14 | Steps:  6 | Time:  450 | Loss:   3.82242 | Score:  0
  Training |    15 | Steps:  7 | Time:  432 | Loss:   4.26415 | Score:  0
  Training |    16 | Steps: 12 | Time:  600 | Loss:   4.11880 | Score:  0
  Training |    17 | Steps: 16 | Time:  638 | Loss:   3.67076 | Score:  0
  Training |    18 | Steps: 30 | Time: 1064 | Loss:   3.39293 | Score:  0
  Training |    19 | Steps:  6 | Time:  472 | Loss:   3.26642 | Score:  0
  Training |    20 | Steps: 11 | Time:  581 | Loss:   3.18818 | Score:  0
  Training |    21 | Steps: 16 | Time:  657 | Loss:   3.51735 | Score:  1
  Training |    22 | Steps:  6 | Time:  478 | Loss:   3.93862 | Score:  0
  Training |    23 | Steps:  6 | Time:  460 | Loss:   3.53058 | Score:  0
  Training |    24 | Steps: 16 | Time:  643 | Loss:   3.70882 | Score:  0
  Training |    25 | Steps: 10 | Time:  495 | Loss:   3.30137 | Score:  0
  Training |    26 | Steps: 26 | Time:  937 | Loss:   3.32901 | Score:  0
  Training |    27 | Steps:  6 | Time:  448 | Loss:   3.48248 | Score:  0
  Training |    28 | Steps: 20 | Time:  748 | Loss:   2.97808 | Score:  0
  Training |    29 | Steps:  6 | Time:  433 | Loss:   3.29911 | Score:  0
