  Training |     1 | Steps: 26 | Time: 7566 | Loss:   0.55863 | Score:  0
  Training |     2 | Steps:  8 | Time:  467 | Loss:   2.77784 | Score:  0
  Training |     3 | Steps:  8 | Time:  415 | Loss:   4.10824 | Score:  0
  Training |     4 | Steps: 29 | Time:  828 | Loss:   3.34566 | Score:  0
  Training |     5 | Steps: 12 | Time:  626 | Loss:   4.41025 | Score:  1
  Training |     6 | Steps:  9 | Time:  496 | Loss:   7.28407 | Score:  0
  Training |     7 | Steps: 11 | Time:  600 | Loss:   6.42662 | Score:  1
  Training |     8 | Steps:  6 | Time:  417 | Loss:   6.81451 | Score:  0
  Training |     9 | Steps: 22 | Time:  692 | Loss:   6.59174 | Score:  0
  Training |    10 | Steps:  7 | Time:  519 | Loss:   6.45881 | Score:  1
  Training |    11 | Steps: 20 | Time:  848 | Loss:   6.05968 | Score:  0
  Training |    12 | Steps: 19 | Time:  863 | Loss:   5.33429 | Score:  0
  Training |    13 | Steps: 21 | Time:  715 | Loss:   5.41366 | Score:  0
  Training |    14 | Steps: 14 | Time:  638 | Loss:   4.68744 | Score:  0
  Training |    15 | Steps: 18 | Time:  671 | Loss:   4.96271 | Score:  0
  Training |    16 | Steps: 18 | Time:  661 | Loss:   5.13587 | Score:  1
  Training |    17 | Steps: 40 | Time: 1022 | Loss:   4.99370 | Score:  0
  Training |    18 | Steps:  6 | Time:  395 | Loss:   4.88840 | Score:  0
  Training |    19 | Steps:  8 | Time:  421 | Loss:   4.77408 | Score:  0
  Training |    20 | Steps: 17 | Time:  680 | Loss:   4.69083 | Score:  0
  Training |    21 | Steps:  6 | Time:  465 | Loss:   4.52983 | Score:  0
  Training |    22 | Steps:  8 | Time:  432 | Loss:   4.46304 | Score:  0
  Training |    23 | Steps:  7 | Time:  440 | Loss:   4.51722 | Score:  0
  Training |    24 | Steps:  6 | Time:  407 | Loss:   5.18279 | Score:  0
  Training |    25 | Steps: 18 | Time:  631 | Loss:   4.68589 | Score:  0
  Training |    26 | Steps: 26 | Time:  800 | Loss:   4.29702 | Score:  0
  Training |    27 | Steps: 21 | Time:  654 | Loss:   4.47467 | Score:  0
  Training |    28 | Steps:  6 | Time:  433 | Loss:   4.44670 | Score:  0
  Training |    29 | Steps:  6 | Time:  405 | Loss:   4.46311 | Score:  1
  Training |    30 | Steps:  9 | Time:  459 | Loss:   4.57180 | Score:  0
  Training |    31 | Steps: 14 | Time:  550 | Loss:   4.66211 | Score:  0
  Training |    32 | Steps: 11 | Time:  495 | Loss:   4.33958 | Score:  0
  Training |    33 | Steps:  6 | Time:  417 | Loss:   3.80246 | Score:  0
  Training |    34 | Steps:  8 | Time:  443 | Loss:   4.65881 | Score:  0
  Training |    35 | Steps: 10 | Time:  509 | Loss:   4.80650 | Score:  0
  Training |    36 | Steps: 13 | Time:  529 | Loss:   4.66735 | Score:  0
  Training |    37 | Steps:  9 | Time:  475 | Loss:   4.64223 | Score:  1
  Training |    38 | Steps:  9 | Time:  479 | Loss:   4.13036 | Score:  0
  Training |    39 | Steps:  9 | Time:  487 | Loss:   4.52054 | Score:  0
  Training |    40 | Steps:  6 | Time:  408 | Loss:   4.51904 | Score:  0
  Training |    41 | Steps: 11 | Time:  495 | Loss:   4.59182 | Score:  0
  Training |    42 | Steps:  6 | Time:  431 | Loss:   4.66314 | Score:  0
  Training |    43 | Steps: 19 | Time:  674 | Loss:   4.15733 | Score:  0
  Training |    44 | Steps:  8 | Time:  468 | Loss:   4.15201 | Score:  0
  Training |    45 | Steps:  8 | Time:  467 | Loss:   3.90994 | Score:  1
  Training |    46 | Steps:  7 | Time:  452 | Loss:   4.25514 | Score:  0
